app_id,genre
1404210,Action
1404210,Adventure
1408720,Action
1408720,Casual
1426210,Action
1426210,Adventure
1446780,Action
1454400,Casual
1454400,Indie
1454400,Simulation
1454400,Strategy
1466860,Strategy
1468810,Action
1468810,Adventure
1468810,Indie
1468810,RPG
1468810,Simulation
1475810,Action
1476970,Casual
1476970,Indie
1476970,Massively Multiplayer
1476970,RPG
1476970,Simulation
1476970,Free To Play
1476970,Early Access
1483870,Casual
1483870,Indie
1491000,Action
1491000,Simulation
1491000,Free To Play
1506830,Simulation
1506830,Sports
15100,Action
15100,Adventure
1515210,Adventure
1515210,Indie
1515950,Action
1515950,Free To Play
1517290,Action
1517290,Adventure
1517290,Casual
1520470,Action
1520470,Adventure
1520470,Massively Multiplayer
1520470,RPG
1520470,Strategy
1520470,Free To Play
1522820,Action
1522820,Adventure
1522820,Indie
1522820,Strategy
1533390,Action
1533390,Casual
1536610,Casual
1536610,Indie
1536610,Simulation
1536610,Free To Play
1551360,Action
1551360,Adventure
1551360,Racing
1551360,Simulation
1551360,Sports
1557740,Action
1557740,Indie
15620,Strategy
1562430,Adventure
1562430,RPG
1569040,Simulation
1569040,Sports
1593500,Action
1593500,Adventure
1593500,RPG
1599340,Action
1599340,Adventure
1599340,Massively Multiplayer
1599340,RPG
1599340,Free To Play
1599600,Action
1599600,Casual
1599600,Indie
1599600,Strategy
1604030,Action
1604030,Adventure
1604030,Massively Multiplayer
1611910,RPG
1611910,Strategy
1619450,Action
1619450,Adventure
1619450,Indie
1619450,RPG
1621690,Action
1621690,Adventure
1621690,Indie
1621690,RPG
1621690,Simulation
1623730,Action
1623730,Adventure
1623730,Indie
1623730,RPG
1623730,Early Access
1627140,RPG
1627140,Strategy
1637320,Action
1637320,Adventure
1637320,Indie
1637320,Simulation
1643320,Action
1643320,Adventure
1643320,RPG
1659040,Action
1659040,Adventure
1665460,Simulation
1665460,Sports
1665460,Free To Play
1676130,Action
1676130,Indie
1677740,Action
1677740,Casual
1677740,Indie
1677740,Massively Multiplayer
1677740,Racing
1677740,Free To Play
1687950,RPG
17080,Action
17080,Free To Play
1716740,RPG
1721470,Action
1721470,Adventure
1721470,Indie
17300,Action
17330,Action
17390,Action
17390,Adventure
17390,Casual
17390,RPG
17390,Simulation
17390,Strategy
17410,Action
17410,Adventure
17460,Action
17460,RPG
17470,Action
17470,Adventure
17480,Action
17480,Strategy
1755910,Action
1755910,Free To Play
1771300,Action
1771300,Adventure
1771300,RPG
1774580,Action
