app_id,tag
105600,Adventure
105600,Pixel Graphics
105600,Crafting
105600,Building
105600,Exploration
105600,Co-op
105600,Open World
105600,Online Co-Op
105600,Indie
105600,Action
105600,RPG
105600,Singleplayer
105600,Replay Value
105600,Platformer
105600,Atmospheric
1056640,Free to Play
1056640,Character Customization
1056640,Anime
1056640,MMORPG
1056640,Multiplayer
1056640,RPG
1056640,Action
1056640,Online Co-Op
1056640,JRPG
1056640,Massively Multiplayer
1056640,Sci-fi
1056640,Action RPG
1056640,Fantasy
1056640,Open World
1056640,Mechs
1056640,Co-op
1056640,Nudity
1056640,Cute
1056640,Great Soundtrack
1056640,Sexual Content
1056960,Action
1056960,Co-op
1056960,FPS
1056960,Female Protagonist
1056960,Singleplayer
1056960,Violent
1056960,Gore
1056960,Alternate History
1056960,Online Co-Op
1056960,Shooter
1056960,First-Person
1056960,Sci-fi
1056960,1980s
1056960,Cyberpunk
1056960,Story Rich
1056960,Great Soundtrack
1056960,RPG
1056960,Multiplayer
1056960,Adventure
1056960,Atmospheric
1057090,Beautiful
1057090,Metroidvania
1057090,Platformer
1057090,Great Soundtrack
1057090,Singleplayer
1057090,Action
1057090,Adventure
1057090,Atmospheric
1057090,Story Rich
1057090,Exploration
1057090,Cute
1057090,Action-Adventure
1057090,Puzzle
1057090,Emotional
1057090,2D
1057090,Indie
1057090,Difficult
1057090,Fantasy
1057090,Open World
1057090,Souls-like
1057240,Free to Play
1057240,Action
1057240,PvP
1057240,Shooter
1057240,Multiplayer
1057240,Team-Based
1057240,Hero Shooter
1057240,PvE
1057240,Sci-fi
1057240,MOBA
1057240,Third-Person Shooter
1057240,Battle Royale
1057240,Early Access
1057240,Third Person
1057240,FPS
1057240,Online Co-Op
1057240,Competitive
1057240,Casual
1057240,Local Multiplayer
1057240,Fighting
1058020,Action
1058020,Multiplayer
1058020,Classic
1058020,FPS
1058020,Third-Person Shooter
1058020,Sci-fi
1058020,Singleplayer
1058020,Shooter
1058020,Space
1058020,First-Person
1058020,Great Soundtrack
1058020,Third Person
1058020,Co-op
1058020,Controller
1058020,Moddable
1058020,War
1061910,Rhythm
1061910,FPS
1061910,Atmospheric
1061910,Singleplayer
1061910,Music
1061910,Shooter
1061910,Action
1061910,Demons
1061910,First-Person
1061910,Combat
1061910,Female Protagonist
1061910,Adventure
1061910,Score Attack
1061910,3D
1061910,Dark Fantasy
1061910,Stylized
1061910,Dark
1061910,Cinematic
1061910,Narration
1061910,Fantasy
1063730,Open World
1063730,Massively Multiplayer
1063730,MMORPG
1063730,RPG
1063730,Adventure
1063730,Action
1063730,PvP
1063730,PvE
1063730,Multiplayer
1063730,Fantasy
1063730,Character Customization
1063730,Walking Simulator
1063730,Crafting
1063730,Third Person
1063730,Co-op
1063730,Open World Survival Craft
1063730,Sandbox
1063730,Violent
1063730,Sexual Content
1063730,Singleplayer
10680,Action
10680,FPS
10680,Aliens
10680,Multiplayer
10680,Sci-fi
10680,Horror
10680,Shooter
10680,Singleplayer
10680,Gore
10680,First-Person
10680,Stealth
10680,Atmospheric
10680,Survival
10680,Co-op
10680,Blood
10680,Hunting
10680,Survival Horror
10680,Adventure
10680,Online Co-Op
10680,Strategy
107100,Great Soundtrack
107100,Indie
107100,Action
107100,Singleplayer
107100,Narration
107100,RPG
107100,Hack and Slash
107100,Story Rich
107100,Dynamic Narration
107100,Isometric
107100,Adventure
107100,Action RPG
107100,Fantasy
107100,Atmospheric
107100,Colorful
107100,Post-apocalyptic
107100,2D
107100,Music
107100,Twin Stick Shooter
107100,Controller
107410,Military
107410,Action
107410,Multiplayer
107410,Shooter
107410,Simulation
107410,Realistic
107410,First-Person
107410,Open World
107410,Tactical
107410,FPS
107410,War
107410,Co-op
107410,Strategy
107410,Sandbox
107410,Singleplayer
107410,Moddable
107410,Combat
107410,Online Co-Op
107410,Team-Based
107410,Third-Person Shooter
1085660,Free to Play
1085660,Open World
1085660,Multiplayer
1085660,Looter Shooter
1085660,MMORPG
1085660,FPS
1085660,Co-op
1085660,PvE
1085660,PvP
1085660,Shooter
1085660,Massively Multiplayer
1085660,Loot
1085660,First-Person
1085660,Sci-fi
1085660,Action
1085660,Adventure
1085660,Lore-Rich
1085660,Space
1085660,Competitive
1085660,Atmospheric
108600,Survival
108600,Zombies
108600,Open World
108600,Multiplayer
108600,Open World Survival Craft
108600,Sandbox
108600,Post-apocalyptic
108600,Co-op
108600,Crafting
108600,Building
108600,Indie
108600,Simulation
108600,RPG
108600,Survival Horror
108600,Realistic
108600,Isometric
108600,Singleplayer
108600,2D
108600,Adventure
108600,Early Access
1086940,RPG
1086940,Character Customization
1086940,Choices Matter
1086940,Story Rich
1086940,Turn-Based Combat
1086940,Dungeons & Dragons
1086940,CRPG
1086940,Fantasy
1086940,Adventure
1086940,Sexual Content
1086940,Romance
1086940,Online Co-Op
1086940,Multiplayer
1086940,Strategy
1086940,Singleplayer
1086940,Co-op Campaign
1086940,Nudity
1086940,Class-Based
1086940,Dark Fantasy
1086940,Combat
108710,Action
108710,Horror
108710,Third Person
108710,Adventure
108710,Story Rich
108710,Thriller
108710,Atmospheric
108710,Singleplayer
108710,Psychological Horror
108710,Great Soundtrack
108710,Mystery
108710,Episodic
108710,Third-Person Shooter
108710,Dark
108710,Supernatural
108710,Cinematic
108710,Survival Horror
108710,Narration
108710,Shooter
108710,Survival
108800,Action
108800,FPS
108800,Sci-fi
108800,Shooter
108800,Singleplayer
108800,Multiplayer
108800,Stealth
108800,Aliens
108800,First-Person
108800,Futuristic
108800,Benchmark
108800,Atmospheric
108800,Great Soundtrack
108800,Adventure
108800,Story Rich
108800,Cyberpunk
108800,3D Vision
108800,Open World
108800,Survival
108800,RPG
1089090,Anime
1089090,Hack and Slash
1089090,Beat 'em up
1089090,Pirates
1089090,Fighting
1089090,Split Screen
1089090,Action
1089090,PvP
1089090,Arcade
1089090,Multiplayer
1089090,Musou
1089090,Co-op
1089090,Adventure
1089090,RPG
1089090,Local Co-Op
1089090,Online Co-Op
1089090,Comedy
1089090,Singleplayer
1089090,Open World
1089090,Controller
1089350,Basketball
1089350,Sports
1089350,Simulation
1089350,Multiplayer
1089350,Singleplayer
1089350,Capitalism
1089350,Casual
1089350,Loot
1089350,Local Multiplayer
1089350,Massively Multiplayer
1089350,Character Customization
1089350,Controller
1089350,Realistic
1089980,Funny
1089980,Multiple Endings
1089980,Choose Your Own Adventure
1089980,Memes
1089980,Comedy
1089980,Singleplayer
1089980,Choices Matter
1089980,Classic
1089980,Point & Click
1089980,2D
1089980,Epic
1089980,Hand-drawn
1089980,Adventure
1089980,Indie
1089980,Family Friendly
1089980,Action
1089980,Interactive Fiction
1089980,Casual
1089980,Parody 
1089980,Old School
1091500,Cyberpunk
1091500,Open World
1091500,Nudity
1091500,RPG
1091500,Singleplayer
1091500,Sci-fi
1091500,FPS
1091500,Story Rich
1091500,Mature
1091500,Futuristic
1091500,First-Person
1091500,Atmospheric
1091500,Exploration
1091500,Action
1091500,Violent
1091500,Great Soundtrack
1091500,Action RPG
1091500,Adventure
1091500,Character Customization
1091500,Immersive Sim
1092790,Card Battler
1092790,Card Game
1092790,Story Rich
1092790,Deckbuilding
1092790,Horror
1092790,Dark
1092790,Puzzle
1092790,Rogue-lite
1092790,Strategy
1092790,Rogue-like
1092790,Psychological
1092790,Surreal
1092790,Experimental
1092790,First-Person
1092790,Point & Click
